model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.05222284304572949,0.06511456756154133,0.018938665160009235,-0.8483361753748726,0.03299602537004918,0.23124168155422886,0.08117788031293127,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,-0.008603632793093986,-0.011365039089903009,-19.72441211856684
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.05177512673658936,0.06470182672963956,0.018674945862077862,-1.5061525543867615,0.031587019820325093,0.22436617126039105,0.06765920851382257,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,-0.009014081549007381,-0.011973582752281754,-21.080124467175363
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.05333217072964209,0.06612613621537104,0.01959209482518968,-1.1131579777630094,0.036487184461611685,0.23124168155422886,0.08117788031293127,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,-0.007586644672565888,-0.009926028035630759,-16.5844516972001
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.04781426472104334,0.06006623326359912,0.017758506283636444,-0.27276577384998846,0.02277134715775061,0.23124168155422886,0.08653451714225424,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,-0.0090605058630732,-0.011423294146562929,-23.379682720015186
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.04377056706251051,0.055196971257447686,0.016415726389485203,-0.756666888272469,0.012707392444446079,0.20281695130348076,0.08653451714225424,momentum_baseline,none,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,-0.010139787878084013,-0.012943797199374003,-30.15032099755653
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.041885517896350775,0.05358050210350562,0.015764835543367703,-0.7552660582832944,0.004658800907095765,0.17668345230500027,0.08653451714225424,momentum_baseline,none,512,0.032466789435841165,0.04040861527782263,0.012218656617885779,0.0016626177046190627,0.0014885610279139413,0.13557383403272016,0.04566822982802332,-0.00941872846050961,-0.013171886825682995,-29.01034757108433
reverse_time,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.04385176556749433,0.05528445998974624,0.016440343897394856,-0.7423486004766613,0.013357400781110357,0.20281695130348076,0.08653451714225424,momentum_baseline,none,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,-0.010033265128879934,-0.012746711513656042,-29.66797758254184
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.06743193990900222,0.08485028187519049,0.02382402355831279,0.7626203771728979,0.02182778930666497,0.3768494232119628,0.08611130749361395,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,-0.029711550407262408,-0.03757562148112404,-78.76787806205446
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.06566117842880123,0.08229817450714023,0.021653316896220725,0.8497854802600904,0.007000880581532892,0.35463455740079297,0.0025535249157875306,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,-0.03239676250407897,-0.04058751755260282,-97.39164690999895
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.06768792909891067,0.0850077691503442,0.024070688344641048,-2.574839893085819,0.024755620940652347,0.3768494232119628,0.042931795836132824,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,-0.030261922030748192,-0.038081442867136314,-80.85800330137644
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.0697944498364501,0.08809832322032335,0.025334204733390132,-2.3834512803867844,0.0341313817819285,0.31450879583375047,0.13940236738777,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,-0.026175239583814597,-0.03434879474868503,-60.00851329543059
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.06940767092520267,0.08737922467615994,0.025050909205783393,-3.570784994197557,0.03185333865805559,0.31450879583375047,0.021095538857432317,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,-0.026646625737620694,-0.03465098069880213,-62.31518808936646
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.07075279007342822,0.089855276148499,0.026036139340387916,-2.9018703740691243,0.03977579600331877,0.30723486821287116,0.13940236738777,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,-0.025007264016352018,-0.03365516796875872,-54.66603222608201
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.06730250532152485,0.08523487314756945,0.025043068594107057,-1.562844933717841,0.026631317464055185,0.30723486821287116,0.08611130749361395,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,-0.02854874646355471,-0.036591934030533256,-73.66703851408042
