model_class,config,feature_set,step_template,ridge_alpha,event_shrink,step_shrink,residual_clip,train_full_mae,validation_full_mae,validation_tail_mae,validation_last2048_mae,validation_full_tail_score,validation_endpoint_abs_diff,step_smoothing,step_rolling_window,selected_by_811_full,selected_by_811_full_plus_tail
event_decay_only,event_tail_interactions_ridge10_shrink0.25_clip0.15,event_tail_interactions,none,10.0,0.25,,0.15,0.03231545112090792,0.035990368218038304,0.035172883553495744,0.033005665041387626,0.0351481821833454,0.06174697040118149,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink0.25_clip0.25,event_tail_interactions,none,10.0,0.25,,0.25,0.03231545112090792,0.035990368218038304,0.035172883553495744,0.033005665041387626,0.0351481821833454,0.06174697040118149,,,False,False
event_decay_only,event_tail_interactions_ridge1_shrink0.5_clip0.15,event_tail_interactions,none,1.0,0.5,,0.15,0.03229381323846349,0.03612197348989617,0.03506588801031672,0.03575875639452561,0.035732504426948225,0.06667951456612187,,,False,False
event_decay_only,event_tail_interactions_ridge1_shrink0.5_clip0.25,event_tail_interactions,none,1.0,0.5,,0.25,0.03229381323846349,0.03612197348989617,0.03506588801031672,0.03575875639452561,0.035732504426948225,0.06667951456612187,,,False,False
event_decay_only,event_history_ridge10_shrink0.25_clip0.15,event_history,none,10.0,0.25,,0.15,0.03231622487029143,0.03626218742855803,0.036413771460092365,0.032470822251024066,0.03554938960251154,0.050985219129268344,,,False,False
event_decay_only,event_history_ridge10_shrink0.25_clip0.25,event_history,none,10.0,0.25,,0.25,0.03231622487029143,0.03626218742855803,0.036413771460092365,0.032470822251024066,0.03554938960251154,0.050985219129268344,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink0.5_clip0.15,event_tail_interactions,none,10.0,0.5,,0.15,0.03230006461532284,0.036299205808884794,0.03540211748244531,0.03406134821600273,0.03558250779237653,0.06514574578415111,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink0.5_clip0.25,event_tail_interactions,none,10.0,0.5,,0.25,0.03230006461532284,0.036299205808884794,0.03540211748244531,0.03406134821600273,0.03558250779237653,0.06514574578415111,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink0.75_clip0.15,event_tail_interactions,none,10.0,0.75,,0.15,0.0322935409490392,0.03671380438630052,0.0360596216385674,0.03559240535600502,0.03629326975592149,0.06854015947755476,,,False,False
event_decay_only,event_tail_interactions_ridge10_shrink0.75_clip0.25,event_tail_interactions,none,10.0,0.75,,0.25,0.0322935409490392,0.03671380438630052,0.0360596216385674,0.03559240535600502,0.03629326975592149,0.06854015947755476,,,False,False
event_decay_only,event_tail_interactions_ridge1_shrink0.75_clip0.15,event_tail_interactions,none,1.0,0.75,,0.15,0.0322851681240997,0.03676973859037067,0.03716210495052206,0.038949467979665676,0.03732339437627509,0.07083752707281032,,,False,False
event_decay_only,event_tail_interactions_ridge1_shrink0.75_clip0.25,event_tail_interactions,none,1.0,0.75,,0.25,0.0322851681240997,0.03676973859037067,0.03716210495052206,0.038949467979665676,0.03732339437627509,0.07083752707281032,,,False,False
