residual_target,family,selected_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff,residual_corr,residual_mae,step_mae,step_residual_corr,mae_gap_vs_step,residual_corr_gap_vs_step,verdict
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.03557136533529594,0.04463615835631371,0.9364041248040457,0.05974754308166652,0.03625462105190208,0.012512213164369165,0.03612931069698808,-0.23116587407627776,-0.0005579453616921456,0.26742049512817984,smoothing_refutes_step_gap
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.03573445492155715,0.044850738412735965,0.9357912043253946,0.05974754308166652,-0.03287754113099468,0.012571052095959748,0.03612931069698808,-0.23116587407627776,-0.00039485577543093425,0.19828833294528309,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,full,0.0369860128649372,0.04636732719844889,0.931375458900572,0.10501752997981395,-0.01008208730250887,0.01308370935869899,0.03612931069698808,-0.23116587407627776,0.0008567021679491138,0.2210837867737689,smoothing_refutes_step_gap
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,full,0.03612931069698808,0.04532779820705561,0.934418012121443,0.06731093343465,-0.23116587407627776,0.012713329279497766,0.03612931069698808,-0.23116587407627776,0.0,0.0,step_reference
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03257895507119017,0.04055652816162633,0.031320519520671164,0.05974754308166652,,0.012196830424037144,0.03338827323568729,-0.144734725765232,-0.0008093181644971206,,beats_step_under_smoothing
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03256829464492086,0.040547317797219755,0.03176044267655165,0.05974754308166652,-0.1353799387029542,0.012192809718327481,0.03338827323568729,-0.144734725765232,-0.0008199785907664348,0.009354787062277797,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.053894567777258165,0.0636716728886449,-1.3875423339943507,0.10501752997981395,-0.13494232270605763,0.020279439335240595,0.03338827323568729,-0.144734725765232,0.020506294541570873,0.009792403059174365,step_still_better_after_smoothing
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,last_2048_sampled,0.03338827323568729,0.041513177016091626,-0.014916942642059894,0.06731093343465,-0.144734725765232,0.012502181560560831,0.03338827323568729,-0.144734725765232,0.0,0.0,step_reference
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.035238777694486516,0.044407439196346925,0.03974377335899437,0.05974754308166652,,0.01309012343379499,0.036069290406457344,-0.33665995470436505,-0.000830512711970828,,beats_step_under_smoothing
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.03536929654284646,0.04458376768399126,0.032102860416227674,0.05974754308166652,-0.38415280243657923,0.013137274212303969,0.036069290406457344,-0.33665995470436505,-0.0006999938636108871,-0.04749284773221418,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.04816959431574917,0.058232861683867265,-0.6512466055178017,0.10501752997981395,-0.3871415986430102,0.018022232555452416,0.036069290406457344,-0.33665995470436505,0.012100303909291829,-0.05048164393864513,step_still_better_after_smoothing
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,811,steps_27126_33906,0.036069290406457344,0.045392361283545686,-0.0033240497677724523,0.06731093343465,-0.33665995470436505,0.013398130768549997,0.036069290406457344,-0.33665995470436505,0.0,0.0,step_reference
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03734917308027275,0.04682389650070424,0.9277110429581031,0.04707520480797722,0.07919412345215031,0.01314978947981718,0.0378472360655942,-0.17107450521634374,-0.0004980629853214499,0.25026862866849403,smoothing_refutes_step_gap
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03758467318959991,0.04712085746397941,0.9267912104515361,0.04707520480797722,0.005411687582020778,0.013233990723703098,0.0378472360655942,-0.17107450521634374,-0.0002625628759942919,0.17648619279836453,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,full,0.03679133263620865,0.046136508646479314,0.9298179080069461,0.10409914484951965,0.08012140833711515,0.01299457214292857,0.0378472360655942,-0.17107450521634374,-0.0010559034293855518,0.2511959135534589,smoothing_refutes_step_gap
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,full,0.0378472360655942,0.047427118121621495,0.9258364810397942,0.05465615840549898,-0.17107450521634374,0.013327339179929306,0.0378472360655942,-0.17107450521634374,0.0,0.0,step_reference
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03351600667648679,0.04213259877392746,-0.011964790806651582,0.04707520480797722,,0.012522561523145664,0.033411307217854236,-0.20853098487609908,0.00010469945863255531,,step_still_better_after_smoothing
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.03360823993708449,0.04224792393038499,-0.017512263472613476,0.04707520480797722,-0.21241868381230944,0.012556575246180274,0.033411307217854236,-0.20853098487609908,0.00019693271923025557,-0.0038876989362103542,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.04964858393276646,0.05946895724631785,-1.0160883224973718,0.10409914484951965,-0.2123238698501914,0.01864890744645919,0.033411307217854236,-0.20853098487609908,0.01623727671491222,-0.003792884974092303,step_still_better_after_smoothing
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,last_2048_sampled,0.033411307217854236,0.04189487505198543,-0.0005774390657748985,0.05465615840549898,-0.20853098487609908,0.012484503135510272,0.033411307217854236,-0.20853098487609908,0.0,0.0,step_reference
roll501,s1_clamp,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.03816941848469725,0.04795340234155864,0.188802611376515,0.04707520480797722,,0.01408692849588684,0.038586717416155956,-0.34335750194490194,-0.0004172989314587053,,beats_step_under_smoothing
roll501,s1_ratio,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.03854745138012138,0.04839668187659119,0.1737359345937055,0.04707520480797722,-0.3365128293224416,0.014223082526465338,0.038586717416155956,-0.34335750194490194,-3.9266036034574237e-05,0.006844672622460357,smoothing_refutes_step_gap
roll501,s1_raw,s0.5_shrink0.5_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.04291150497023171,0.05294652170978062,0.011076810692168482,0.10409914484951965,-0.3312702057733916,0.015985330131537138,0.038586717416155956,-0.34335750194490194,0.004324787554075754,0.012087296171510331,step_still_better_after_smoothing
roll501,step_abs,s0.1_shrink1_clip0.15,811:full_raw_residual,wsd,steps_27126_33906,0.038586717416155956,0.048400927379568276,0.17359096348099323,0.05465615840549898,-0.34335750194490194,0.014235972735674864,0.038586717416155956,-0.34335750194490194,0.0,0.0,step_reference
