method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2,max_abs_error,endpoint_abs_diff,residual_mean
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1,cosine,steps_20000_30000,5001,0.031935532217615394,0.03992854789885839,0.011784553053410377,0.23195710422406313,0.135890827504205,0.05325077952328572,0.0010600618304655535
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1,wsd,full,16454,0.05037974091561203,0.06506020906374971,0.01804433625139219,0.8604378132373238,0.2717866618667326,0.18215335225408413,-0.002863480099994998
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1,wsd,steps_20000_30000,5001,0.048769636660334285,0.05967907932323487,0.017701824805889783,-0.5526332105399652,0.2042012533696429,0.03817402001061554,-0.018403469042260298
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,811,full,16454,0.07108268427006992,0.10312424799172107,0.025751722119161328,0.6605491361488269,0.3622808714466954,0.27258479157482896,0.024020353607492283
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,811,steps_20000_30000,5001,0.08102944317755402,0.10951260107320532,0.02963148346429524,-2.9123694724100067,0.32929259039229475,0.15697722934316927,0.02404875846935839
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,cosine,full,16454,0.03229289030378669,0.04033168043040419,0.011469193094968142,0.953300463877128,0.17199044636348182,0.04892505521211543,0.00045136411035958963
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,cosine,steps_20000_30000,5001,0.03192207205697762,0.039920061838624406,0.011780672173309251,0.2322835356129349,0.1359520701697856,0.05268310249065866,0.0008234103682995092
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,wsd,full,16454,0.05580813387447879,0.07432373056750029,0.020058405052023907,0.8178656512303784,0.3047357204507546,0.21516519661303857,0.001472674030218112
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge0.01_shrink1.25,wsd,steps_20000_30000,5001,0.05335352949736111,0.06577274368683524,0.01937721603016578,-0.8858908767677562,0.23254833570482836,0.06752616975918047,-0.014217008246054822
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,811,full,16454,0.03572416108154079,0.044806501280957256,0.01262568811857045,0.9359178025612127,0.18299924966493464,0.06513081393984299,-0.011630300066277466
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,811,steps_20000_30000,5001,0.03928554499493425,0.0491151497278557,0.014287947780581994,0.21305819365975942,0.16269029929434753,0.04786941417795765,-0.02503159761432563
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,cosine,full,16454,0.032335511991410174,0.04040421018455235,0.01148721789184664,0.9531323503044626,0.1766482310557631,0.04196028237515703,-0.00023983315245109136
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,cosine,steps_20000_30000,5001,0.03202262394013981,0.040006525149433224,0.011811908407881305,0.22895432267804638,0.1370451100438248,0.05515482218149659,0.0020981299495392842
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,wsd,full,16454,0.037371793495270755,0.04685135571715467,0.013250208076283115,0.927626232410331,0.1904689037481866,0.051084596856686204,-0.01969519946149686
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.25,wsd,steps_20000_30000,5001,0.042944765898135125,0.05303212690287781,0.015624435243492281,-0.22603461723339224,0.1680779107387882,0.07788720628979995,-0.03451578749828731
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,811,full,16454,0.03582630499095773,0.04488846686979308,0.012659408079475966,0.9356831339667122,0.18267179978813752,0.0719004299057886,-0.010052305420609066
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,811,steps_20000_30000,5001,0.038952179524043645,0.048694565026792126,0.014159478380369378,0.22647802743705436,0.16236893009220976,0.041313827146284954,-0.023085005783470895
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,cosine,full,16454,0.03233331063731983,0.04039688547749462,0.011485562443924908,0.9531493416370976,0.17709419481081268,0.0426086369731582,-5.350191263724461e-05
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,cosine,steps_20000_30000,5001,0.032021388353954995,0.04000492199580454,0.011811058877289428,0.22901611659311794,0.13668919255180434,0.05478700343816234,0.0021902633249974946
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,wsd,full,16454,0.0370980937915083,0.046515291661990726,0.013146526485791414,0.9286607805035878,0.19014145387138948,0.05648992663281405,-0.018558724271226172
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.5,wsd,steps_20000_30000,5001,0.042320041854274286,0.0523668720487065,0.015393408386240147,-0.19546787318070535,0.16597199689393927,0.07316988404743352,-0.03343205512261431
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,811,full,16454,0.03609197608933184,0.04516053982155844,0.012754200818411757,0.9349011107906393,0.18234438729143987,0.07865272007836976,-0.008477526300794
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,811,steps_20000_30000,5001,0.03883005635526447,0.04849264870409494,0.014109025783823302,0.23287968195961917,0.1620475975760316,0.034774212696838,-0.021142379329582874
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,cosine,full,16454,0.03233273909023565,0.04039161624794516,0.011484491652976905,0.9531615629145704,0.1775400994276879,0.04325683416716819,0.00013280038677065788
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,cosine,steps_20000_30000,5001,0.03202100302243778,0.040003999399840576,0.011810525262791001,0.22905167713824748,0.13633332231324236,0.05441923517387126,0.0022823865728341295
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,wsd,full,16454,0.03690636287903492,0.046267882294084316,0.01307324255184106,0.929417652124058,0.18981404137469182,0.061884241647669924,-0.017423806521270954
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink0.75,wsd,steps_20000_30000,5001,0.04175708753086216,0.0517555127455138,0.015184863293199345,-0.16771772707240062,0.16490599792088023,0.06846072817943005,-0.032349484674544904
momentum_mpl_hybrid_decay,hybrid_decay,hybrid_decay_progress_scale5_beta0.5_ridge1_shrink1,811,full,16454,0.036500551804271135,0.045617952629004824,0.01290241281483007,0.9335757118601138,0.1820170121705753,0.08538772880029555,-0.006905954908886097
