train_schedules,target_schedule,split,model,feature_set,feature_transform,window,n,mae,rmse,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae,full_wsd_step_base_mae
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,full,16454,0.03510190775981406,0.04393848361428093,0.9363458114839364,0.020332886407752264,0.17688525548034217,0.02987619851909029,0.012370126535484638,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,pre_tail_1000_27125,13063,0.03489322414639745,0.04366410189324118,0.9362772120439756,0.020039908436447568,0.17688525548034217,0.02808876453252651,0.012144073785108832,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,tail_27126_33906,3391,0.035905810455792025,0.04497983190924715,0.28628742660235884,0.021461512547284334,0.1639626837676733,0.02987619851909029,0.01324093959303673,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,early_decay_27126_30000,1438,0.0440697955258711,0.053353470899785135,-0.3756597360935865,0.039432578736109856,0.1639626837676733,0.06882951088667699,0.016042267062729283,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,endpoint_30000_33906,1954,0.02991456847506386,0.0376644008243782,0.18206075700920754,0.008260373764688782,0.13121169609762084,0.02987619851909029,0.011185729702540366,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,last_2048_sampled,2048,0.030118075525186146,0.037921612841650756,0.18021020605923532,0.009133742093415427,0.1320494755416881,0.02987619851909029,0.011255377613119353,0.03510190775981406
cosine,wsd,test,step_base_for_leftover,linear_endpoint,zero,last_512_sampled,512,0.029392682110346673,0.036926215592009065,0.16632073744611486,-0.0015668194231679361,0.11097868263092137,0.02987619851909029,0.011048404459513907,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,full,16454,0.02892671775462346,0.03626279474366906,0.9622477817185735,-0.00026120095490491654,0.15940178838800279,0.025609442678393712,0.01027357641655517,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,pre_tail_1000_27125,13063,0.02909120359368785,0.0364155228009655,0.9634079330570353,-0.00039823779735402944,0.15940178838800279,0.008512834669653468,0.010195554568957257,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,tail_27126_33906,3391,0.028293076198829252,0.03566833569213476,0.23373561624118178,0.00026670003976118857,0.12333839839975269,0.025609442678393712,0.010574136544886505,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,early_decay_27126_30000,1438,0.028123555177233476,0.03546138035438789,0.2146065822483164,-0.0003794704728196855,0.11830715786731894,0.041820720774793596,0.010473461901333681,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,endpoint_30000_33906,1954,0.028424754230370032,0.035823281332602784,0.19220931788215745,0.000763500048884182,0.12333839839975269,0.025609442678393712,0.01065090330412013,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,last_2048_sampled,2048,0.028341402613497765,0.03571727689817169,0.1946742273150679,0.000773341307147281,0.12333839839975269,0.025609442678393712,0.010618774617098387,0.03510190775981406
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,zero,last_512_sampled,512,0.02929866331636205,0.03693809729874447,0.16588303299329754,0.0003881390174298007,0.10744642859028541,0.025609442678393712,0.010986673457755624,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,full,16454,0.03302379449174094,0.0415543033708465,0.9448827753480596,0.01253441221758363,0.17035711572386436,0.042755590438419144,0.01162604419190123,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,pre_tail_1000_27125,13063,0.03312408778974163,0.041579928528696956,0.9420388968261042,0.014701853070411644,0.17035711572386436,0.023001532618667664,0.011498042823466203,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,tail_27126_33906,3391,0.03263743903559731,0.04145544066330225,0.1631671035649196,0.004184875248992548,0.15123212866754354,0.042755590438419144,0.012119138227839521,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,early_decay_27126_30000,1438,0.03643770793908906,0.04644830584029167,-0.26376681505109034,0.021094221376303384,0.15123212866754354,0.04065386876239119,0.013400839469873811,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,endpoint_30000_33906,1954,0.029844823757452805,0.037356766955445125,0.17070954136418937,-0.008240493603392088,0.13060600044809556,0.042755590438419144,0.011177511141441342,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,last_2048_sampled,2048,0.0296964130597933,0.03717905659499545,0.18594210823234902,-0.007906928047768281,0.13060600044809556,0.042755590438419144,0.011118014194954551,0.03510190775981406
cosine,811,test,step_plus_event_leftover,linear_endpoint,zero,last_512_sampled,512,0.031948265242360774,0.03993393861719602,0.020949291968426986,-0.015357495191783201,0.12327321122406154,0.042755590438419144,0.011994427406370278,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,full,16454,0.035032184278293424,0.04385689512495446,0.9365819883770736,0.020152746499213777,0.17670644090391807,0.03004379448695227,0.012345428620218535,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,pre_tail_1000_27125,13063,0.03482347642972264,0.043582704578934116,0.9365145708342322,0.0198573148556324,0.17670644090391807,0.027912240092422547,0.01211951403993077,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,tail_27126_33906,3391,0.03583618033428878,0.044897500117297165,0.28889781680919324,0.02129082481242626,0.16378764411151936,0.03004379448695227,0.013215709411223861,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,early_decay_27126_30000,1438,0.043943831263723324,0.05322483912845864,-0.3690344787737163,0.03925850352634647,0.16378764411151936,0.06865927483110656,0.015996942018154617,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,endpoint_30000_33906,1954,0.02988634464235938,0.0376276830711272,0.18365474239675295,0.008092179192877353,0.1310440556614636,0.03004379448695227,0.011175268691605733,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,last_2048_sampled,2048,0.03008696979846999,0.03788118385077577,0.18195726290952463,0.008965412721566928,0.1318798686302851,0.03004379448695227,0.011243866401094742,0.03510190775981406
cosine,wsd,test,step_plus_event_leftover,linear_endpoint,zero,last_512_sampled,512,0.029397774424931064,0.0369337413951073,0.1659808842968935,-0.0017335692143594867,0.11114695492627469,0.03004379448695227,0.011050291348078408,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,full,16454,0.028924688185793523,0.03626181880263406,0.9622498137430467,-8.407526114960349e-05,0.1595788985044444,0.025441011196305485,0.010272871301139587,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,pre_tail_1000_27125,13063,0.029088990770182652,0.03641391011444383,0.9634111739950715,-0.00021870547009401732,0.1595788985044444,0.008343914965688981,0.010194785295551692,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,tail_27126_33906,3391,0.028291752573916466,0.03566986376604926,0.23366995948006486,0.0004345547652263556,0.12350514992457162,0.025441011196305485,0.010573678582470951,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,early_decay_27126_30000,1438,0.028119558562063992,0.03545985028416481,0.2146743563250476,-0.0002110605377605478,0.11847550168019971,0.04198788889949867,0.010472014924241836,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,endpoint_30000_33906,1954,0.028425483958445342,0.035827136247081386,0.19203545711754233,0.0009309458296221793,0.12350514992457162,0.025441011196305485,0.01065120549728499,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_2048_sampled,2048,0.02834236113942501,0.035721189354854015,0.19449778750535884,0.0009408074953366386,0.12350514992457162,0.025441011196305485,0.010619162100543478,0.03510190775981406
cosine,cosine,train,step_base_for_leftover,linear_endpoint,circular_shift_25pct,last_512_sampled,512,0.029299233239346932,0.03694015382918441,0.16579015139891673,0.0005554234128787661,0.10727742968502074,0.025441011196305485,0.010986918312979072,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,full,16454,0.033067127649341034,0.04160799463662509,0.9447402521846467,0.012714155309233734,0.17053593030028846,0.04258838275006971,0.011641402809671481,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,pre_tail_1000_27125,13063,0.03317612289662388,0.041642713494933446,0.9418637241640643,0.014884446651226813,0.17053593030028846,0.02317805705877163,0.011516524837490985,0.03510190775981406
cosine,811,test,step_base_for_leftover,linear_endpoint,circular_shift_25pct,tail_27126_33906,3391,0.032647250057109875,0.04147397707432654,0.16241857230947387,0.004353637526734291,0.15140783820472947,0.04258838275006971,0.012122464723736308,0.03510190775981406
