train_schedules,target_schedule,split,model,feature_set,feature_transform,window,n,mae,rmse,r2,signed_bias,max_abs_error,endpoint_abs_diff,log_residual_mae
cosine,811,test,event_decay_only,linear_endpoint,aligned,pre_tail_1000_27125,13063,0.06296006841385444,0.07475044420909277,0.8126745772064832,-0.05697878196806173,0.21259988388894868,0.10967549168871038,0.022236151001176797
cosine,811,test,event_decay_only,linear_endpoint,aligned,tail_27126_33906,3391,0.034645345556733036,0.043254168423564526,0.08897224911615786,-0.00848294423428767,0.1539459270214003,0.06477452728899813,0.012894328103622085
cosine,811,test,event_decay_only,linear_endpoint,aligned,early_decay_27126_30000,1438,0.03542811193933759,0.04444874452209118,-0.15730062619059826,-0.0033831448904342175,0.13937288161845762,0.030686833770960487,0.013076282681388126
cosine,811,test,event_decay_only,linear_endpoint,aligned,endpoint_30000_33906,1954,0.034067261334639325,0.04234791783474851,-0.0656932768177636,-0.012215974775974473,0.1539459270214003,0.06477452728899813,0.012759732356201462
cosine,811,test,event_decay_only,linear_endpoint,aligned,last_2048_sampled,2048,0.03416076764197828,0.04242104594506482,-0.05979362955943501,-0.01267151399244227,0.1539459270214003,0.06477452728899813,0.01278973450726581
cosine,811,test,event_decay_only,linear_endpoint,aligned,last_512_sampled,512,0.03587649326947563,0.044293092239155986,-0.20446142452380744,-0.018272888774335944,0.1539459270214003,0.06477452728899813,0.013473333127131197
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,full,16454,0.05465831290756149,0.06674944129937369,0.8530965055727318,-0.044053169252545314,0.20588601670144868,0.052113862371939046,0.01944436306847314
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,pre_tail_1000_27125,13063,0.059209171776453705,0.07098454869731234,0.831587874900797,-0.05182332018284097,0.20588601670144868,0.1047647842149555,0.020926384530986757
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,tail_27126_33906,3391,0.03712723965355415,0.04699358190657631,0.22095097400862562,-0.014120558930383106,0.1703471526215159,0.052113862371939046,0.013735237039332656
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,early_decay_27126_30000,1438,0.044125268180996643,0.05521611110605795,-0.4733885909604916,-0.02920979906309999,0.1703471526215159,0.05186578816260701,0.016146501832770704
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,endpoint_30000_33906,1954,0.031984749134642554,0.039876740690546385,0.08315013002376392,-0.002982220313218381,0.14247910175879142,0.052113862371939046,0.011963624996559626
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,last_2048_sampled,2048,0.03188368193795245,0.039786266195280764,0.0976079195311389,-0.002958763700527233,0.14247910175879142,0.052113862371939046,0.01192077269264152
cosine,wsd,test,event_decay_only,linear_endpoint,aligned,last_512_sampled,512,0.03316356347886403,0.04084824907661546,-0.02017878515158955,-0.006223151444352496,0.14247910175879142,0.052113862371939046,0.01246588386652317
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,aligned,full,16454,0.028920364022024754,0.03625607764863063,0.9622617663964574,-0.00025476210531218433,0.1587314958594357,0.026941727282419503,0.010271287800629305
cosine,cosine,train,step_plus_event_leftover,linear_endpoint,aligned,pre_tail_1000_27125,13063,0.02908164322901071,0.036407920372956315,0.9634232100320552,-0.00023050090158145933,0.1587314958594357,0.00838300085606214,0.010192119341290457
