coordinate,coordinate_group,target_schedule,train_x_min,train_x_max,target_x_min,target_x_max,train_x_range,target_x_range,frac_below_train,frac_above_train,frac_outside_train,max_extrapolation,normalized_max_extrapolation,full_mae,inside_support_loss_mae,outside_support_loss_mae,n_inside_support,n_outside_support,verdict
softsign_lr_time_hl64_epslr_1e-05,sujianlin_softsign,811,990.9378499737811,32692.83686361017,991.0891089108799,32981.621180388414,31701.89901363639,31990.532071477533,0.0,0.00966330375592561,0.00966330375592561,288.78431677824483,0.009109369651768366,0.03588135543582896,0.03585404228337022,0.03868052411076763,16295,159,mostly_inside_cosine_support
s1_ratio,control_s1,811,0.05364037591474717,1.0,0.03507686450401549,1.0,0.9463596240852529,0.9649231354959845,0.01610550625987602,0.0,0.01610550625987602,0.018563511410731683,0.01961570521214395,0.03580007487734331,0.03585039715445647,0.03272585848419372,16189,265,mostly_inside_cosine_support
effective_update_hl512_epslr2_1e-08,sujianlin_update_rms,811,995.5587882530413,30419.4903318507,996.0322274002226,31109.801433565888,29423.931543597657,30113.769206165667,0.0,0.031238604594627448,0.031238604594627448,690.3111017151896,0.023460872341017736,0.03584496575043772,0.03588253302375686,0.034679941749062575,15940,514,mostly_inside_cosine_support
effective_update_hl64_epslr2_1e-08,sujianlin_update_rms,811,995.8802117146154,31621.617581597147,996.0322274002226,32431.652124462955,30625.737369882532,31435.619897062734,0.0,0.03482435881852437,0.03482435881852437,810.0345428658075,0.026449470688088592,0.03587324011308049,0.035918000591347365,0.03463267963252858,15881,573,mostly_inside_cosine_support
softsign_lr_time_hl64_epslr_1e-04,sujianlin_softsign,811,909.824507293163,26558.990250180363,909.9999999999931,28800.65391886985,25649.1657428872,27890.65391886986,0.0,0.12665613224747782,0.12665613224747782,2241.663668689489,0.08739713763638209,0.035768758854272414,0.03623779688659839,0.032534557067072686,14370,2084,moderate_support_mismatch
softsign_lr_time_hl512_epslr_1e-04,sujianlin_softsign,811,909.554899598671,25710.788819409645,909.9999999999931,27892.72433491557,24801.233919810973,26982.724334915576,0.0,0.13960131275069892,0.13960131275069892,2181.935515505924,0.08797689351105294,0.03570877639539757,0.03620475433491822,0.03265193717476466,14157,2297,moderate_support_mismatch
noise_ratio_eps1e-12,sujianlin_noise,811,3.936339362604058e-05,0.0009990013310233704,3.376682883350233e-05,0.000999000999000016,0.0009596379373973298,0.0009652341701665137,0.2584174061018597,0.0,0.2584174061018597,5.5965647925382506e-06,0.005831954505380336,0.03558308792255225,0.03536178863489687,0.03621815234117195,12202,4252,large_support_mismatch
noise_ratio_eps1e-04,sujianlin_noise,811,3.936338230810203e-05,0.0009989015118501412,3.376682468717491e-05,0.0009989013083511683,0.0009595381295420392,0.0009651344836639934,0.2584174061018597,0.0,0.2584174061018597,5.59655762092712e-06,0.005832553651201126,0.03558309211811236,0.035361794292473166,0.03621815234117195,12202,4252,large_support_mismatch
noise_ratio_eps1e-02,sujianlin_noise,811,3.93622618643897e-05,0.000989117187324339,3.376641420579634e-05,0.000989129457381973,0.0009497549254599494,0.0009553630431761767,0.2584174061018597,6.077549532028686e-05,0.25847818159718,5.595847658593358e-06,0.005891885905075342,0.035583552156232136,0.035361529633617585,0.0362204900350048,12201,4253,large_support_mismatch
noise_ratio_eps1e00,sujianlin_noise,811,3.9250538692485196e-05,0.0004996781887069277,3.372541640530149e-05,0.0004999997502498824,0.0004604276500144425,0.0004662743338445809,0.25738422268141486,0.0010939589157651635,0.25847818159718,5.525122287183708e-06,0.011999979338796004,0.03558443073410557,0.03536326434482663,0.03621891253885332,12201,4253,large_support_mismatch
effective_update_hl4096_epslr2_1e-12,sujianlin_update_rms,811,1000.3813616143392,23617.06371728337,1000.9994995003926,28848.363366604306,22616.682355669032,27847.363867103915,0.0,0.3126899234228759,0.3126899234228759,5231.299649320936,0.2313026980285494,0.0354286675227693,0.03479886915808752,0.036812999827178665,11309,5145,large_support_mismatch
effective_update_hl4096_epslr2_0,sujianlin_update_rms,811,1000.3818618312941,23617.092627012986,1001.0,28848.37829405458,22616.71076518169,27847.37829405458,0.0,0.3126899234228759,0.3126899234228759,5231.285667041593,0.23130178925465722,0.035428671777483385,0.03479887534847266,0.036812999827178665,11309,5145,large_support_mismatch
softsign_lr_time_hl4096_epslr_0,sujianlin_softsign,811,1000.3818618312941,23617.092627012986,1001.0,28848.37829405458,22616.71076518169,27847.37829405458,0.0,0.3126899234228759,0.3126899234228759,5231.285667041593,0.23130178925465722,0.035428671777483385,0.03479887534847266,0.036812999827178665,11309,5145,large_support_mismatch
effective_update_hl4096_epslr2_1e-10,sujianlin_update_rms,811,1000.3318438497458,23614.20277006994,1000.9499537534106,28846.885668191393,22613.870926220196,27845.935714437983,0.0,0.3127506989181962,0.3127506989181962,5232.682898121453,0.23139262248349943,0.03542825501039352,0.03479880409839087,0.03681143241282762,11308,5146,large_support_mismatch
softsign_lr_time_hl4096_epslr_1e-05,sujianlin_softsign,811,990.476832134672,23284.44716256839,991.0891089108799,28558.627353795662,22293.97033043372,27567.53824488478,0.0,0.31572869818889027,0.31572869818889027,5274.180191227271,0.23657428950766277,0.03542558049260065,0.03478476110905702,0.036814413108446235,11259,5195,large_support_mismatch
effective_update_hl4096_epslr2_1e-08,sujianlin_update_rms,811,995.4168968478075,23338.537827290584,996.0322274002226,28700.28739905506,22343.120930442776,27704.25517165484,0.0,0.3176735140391394,0.3176735140391394,5361.749571764478,0.2399731706441703,0.03542525542101859,0.034792799252850476,0.03678369915547876,11227,5227,large_support_mismatch
