method,correction,feature_set,schedule,target,window,n,mae,rmse,mape,r2
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,cosine,roll5,full,16450,0.005603604515602382,0.006949217244017345,0.0019876305052621405,0.9985551301645154
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,cosine,roll5,steps_20000_30000,5001,0.005465282886229177,0.006757007228277683,0.0020157699386069983,0.9423877095731987
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,cosine,raw,full,16450,0.030290105206800016,0.037953375345446086,0.010763043336315168,0.9583586268423211
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,cosine,raw,steps_20000_30000,5001,0.03016018512721181,0.03778871260901915,0.011134160521562197,0.31207255358096364
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,wsd,roll5,full,16450,0.020523995776901272,0.024682500952086153,0.007318063705529188,0.9789353829982095
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,wsd,roll5,steps_20000_30000,5001,0.03547520193059627,0.03632342628277011,0.012799084385872362,-0.3145179060922778
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,wsd,raw,full,16450,0.0357146546773541,0.04482364605179579,0.012664336843534124,0.9332669040293031
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.1_shrink1,wsd,raw,steps_20000_30000,5001,0.04235626806111157,0.05207956322964482,0.01540092312905486,-0.18238608172562687
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,cosine,roll5,full,16450,0.013150023746393798,0.016406276248300256,0.004666403886510581,0.9919466423432626
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,cosine,roll5,steps_20000_30000,5001,0.012922765456475955,0.016017426716539013,0.004765955548705108,0.6762633520239268
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,cosine,raw,full,16450,0.0316044107685661,0.0395227399732155,0.011230707208595982,0.9548437029327344
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,cosine,raw,steps_20000_30000,5001,0.031330722506376675,0.03922985575965419,0.011562635880322332,0.25860122100105065
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,wsd,roll5,full,16450,0.023509987221744442,0.028587575381703458,0.008360036067385047,0.9717427503959514
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,wsd,roll5,steps_20000_30000,5001,0.03487960846590003,0.03839336130836453,0.012616982329813897,-0.46860554341639915
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,wsd,raw,full,16450,0.036691750395092856,0.04599908583421544,0.013014925344332575,0.9297210417818861
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.5,wsd,raw,steps_20000_30000,5001,0.042633573808788856,0.05257045052068102,0.01551295328468552,-0.2047808060338261
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,cosine,roll5,full,16450,0.012665699235461248,0.01580252708759439,0.004494645822714967,0.9925284615806748
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,cosine,roll5,steps_20000_30000,5001,0.01246892209667902,0.015479524077253868,0.004599263691342136,0.6976419175607987
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,cosine,raw,full,16450,0.031398654466251404,0.03928249235307455,0.011157219558401417,0.9553910192289063
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,cosine,raw,steps_20000_30000,5001,0.031141401130805914,0.039017977177616986,0.011494407207913594,0.266588113156216
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,wsd,roll5,full,16450,0.023292502255138393,0.02833641416425396,0.008284295389285181,0.9722370874351288
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,wsd,roll5,steps_20000_30000,5001,0.035210730547567126,0.038514877623738314,0.012732596641089887,-0.4779166296864814
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,wsd,raw,full,16450,0.036566828227486234,0.04584911664836558,0.012970182739504595,0.93017855074696
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink0.75,wsd,raw,steps_20000_30000,5001,0.04274507056226343,0.05266271388183569,0.01555219339346226,-0.20901339937261443
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,cosine,roll5,full,16450,0.012443100224227182,0.015534320451256436,0.004415063481707389,0.9927799290268888
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,cosine,roll5,steps_20000_30000,5001,0.012241117462576613,0.015231371126409118,0.004515757922732254,0.7072584454225068
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,cosine,raw,full,16450,0.03130146032406635,0.03918192856286618,0.011122156894607162,0.9556191262424283
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,cosine,raw,steps_20000_30000,5001,0.03105547846929167,0.03892486289605789,0.01146428798796395,0.27008443148640116
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,wsd,roll5,full,16450,0.023238488625333713,0.028286055838356684,0.008264115568982124,0.9723356779958756
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,wsd,roll5,steps_20000_30000,5001,0.035571200166529385,0.03876661441458307,0.012858640710806264,-0.497299365707768
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,wsd,raw,full,16450,0.03653608195907023,0.04582372306880571,0.012958046367030457,0.9302558706895312
momentum_reproduced,smooth_residual_roll5,roll5_spline_s0.5_shrink1,wsd,raw,steps_20000_30000,5001,0.042931472705389884,0.05285054115028677,0.015618030167969544,-0.21765293312964928
