residual_target,family,selected_config,target_schedule,window,residual_mae,residual_corr,sign_agreement,step_residual_corr,residual_corr_gap_vs_step
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,wsd,full,0.014002081684228071,-0.007939140046586706,0.5004862039625623,0.9364833929086915,-0.9444225329552782
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,wsd,steps_27126_33906,0.014937419991252096,-0.00778251297985593,0.5092892951931584,0.9133161430797243,-0.9210986560595802
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,wsd,last_2048_sampled,0.013167949032303124,0.03591283874923629,0.52490234375,0.9749459045994239,-0.9390330658501875
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811,full,0.01262624233615414,-0.12314258978965642,0.47769539321745474,-0.12314258978965642,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811,steps_27126_33906,0.013231085241533097,-0.3377471595107334,0.42170451194337955,-0.3377471595107334,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811,last_2048_sampled,0.012251408918566024,-0.03995990687169249,0.44921875,-0.03995990687169249,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,wsd,full,0.013277059062912724,-0.07229709139074791,0.5097848547465662,-0.07229709139074791,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,wsd,steps_27126_33906,0.014214872007943719,-0.3095363743593822,0.5423179003243881,-0.3095363743593822,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,wsd,last_2048_sampled,0.012479249765457147,-0.09142324753014817,0.6123046875,-0.09142324753014817,0.0
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811,full,0.01237935784130215,0.07954183896971619,0.5848425914671205,-0.12314258978965642,0.2026844287593726
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811,steps_27126_33906,0.01304888002177462,,0.5458566794455912,-0.3377471595107334,
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811,last_2048_sampled,0.012342579346244633,,0.44921875,-0.03995990687169249,
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,wsd,full,0.012921184280847863,0.12158636824600082,0.6389327823021758,-0.07229709139074791,0.19388345963674875
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,wsd,steps_27126_33906,0.013734290756912229,,0.7071660277204365,-0.3095363743593822,
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,wsd,last_2048_sampled,0.012353652409523231,,0.6123046875,-0.09142324753014817,
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811,full,0.01237935784130215,0.07954183896971619,0.5848425914671205,-0.12314258978965642,0.2026844287593726
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811,steps_27126_33906,0.01304888002177462,,0.5458566794455912,-0.3377471595107334,
roll501,s1_clamp,interp_log_residual_roll501_shrink1_clip0.15,811,last_2048_sampled,0.012342579346244633,,0.44921875,-0.03995990687169249,
