block_size,replicate,mlp_seed,n_train,n_blocks,train_unique_count,train_unique_fraction,target,feature_set,feature_count,m,hidden,activation,scaler,alpha,learning_rate,batch_size,max_iter,n_iter,loss_curve_final,baseline_validation_mae,baseline_validation_r2,baseline_test_mae,baseline_test_r2,momentum_objective,momentum_L0,momentum_A,momentum_C,momentum_alpha,selection_mode,selected_shrink,candidate_validation_mae_by_shrink,candidate_test_mae_by_shrink,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff,test_max_abs_error,validation_improvement_pct,test_improvement_pct
128,10,1588110,32908,258,20909,0.635377415825939,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4991098417940457,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034149348410559, ""1.0"": 0.033909764635902416, ""1.25"": 0.03382785250617797}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03506907849067446, ""1.0"": 0.03439054883860772, ""1.25"": 0.03384096327599609}",0.033909764635902416,0.042449689013612374,0.9422542910530696,0.0039832565664168484,0.03439054883860772,0.043131598381510206,0.9384090276602898,0.01114028691397806,0.18372639928152035,5.344010589903021,9.126023422064856
128,10,1588110,32908,258,20909,0.635377415825939,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4991098417940457,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.25,"{""0.0"": 0.03582421444985208, ""0.75"": 0.034149348410559, ""1.0"": 0.033909764635902416, ""1.25"": 0.03382785250617797}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03506907849067446, ""1.0"": 0.03439054883860772, ""1.25"": 0.03384096327599609}",0.03382785250617797,0.042309699252037716,0.9426345284070886,0.007850465570673482,0.03384096327599609,0.042422537184058286,0.9404174298325398,0.00836761363875782,0.18286378504384704,5.572660766836017,10.578254550411176
128,11,1588111,32908,258,20656,0.6276893156679227,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,111,0.4981162939979682,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03460547036140869, ""1.0"": 0.03643300429001807, ""1.25"": 0.03925008316843979}","{""0.0"": 0.03784422134219445, ""0.75"": 0.032966161961932305, ""1.0"": 0.03302541430182498, ""1.25"": 0.03393819915134222}",0.03643300429001807,0.045507760542399564,0.9336346147094021,0.03301270278754975,0.03302541430182498,0.041241204525241854,0.9436895967488449,0.0018671242591015158,0.1842424194071648,-1.6993808503971384,12.73327041610112
128,11,1588111,32908,258,20656,0.6276893156679227,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,111,0.4981162939979682,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03460547036140869, ""1.0"": 0.03643300429001807, ""1.25"": 0.03925008316843979}","{""0.0"": 0.03784422134219445, ""0.75"": 0.032966161961932305, ""1.0"": 0.03302541430182498, ""1.25"": 0.03393819915134222}",0.03460547036140869,0.04324379845639814,0.9400735762602243,0.021944585586330945,0.032966161961932305,0.04125778124632722,0.9436443202126199,0.004144068102776455,0.18497571587395178,3.402012038950444,12.889839471537359
128,12,1588112,32908,258,21220,0.6448280053482436,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,106,0.49771553451353967,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.033885951998577184, ""1.0"": 0.03408950382304967, ""1.25"": 0.034714243280316234}","{""0.0"": 0.03784422134219445, ""0.75"": 0.033952717388841154, ""1.0"": 0.033267626451645375, ""1.25"": 0.032904509018773447}",0.03408950382304967,0.04262333709803884,0.941780886348249,0.0163189168349418,0.033267626451645375,0.041686448861715734,0.9424671674925124,0.005985756624795169,0.18917663227073822,4.842285179011292,12.093246282349575
128,12,1588112,32908,258,21220,0.6448280053482436,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,106,0.49771553451353967,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.033885951998577184, ""1.0"": 0.03408950382304967, ""1.25"": 0.034714243280316234}","{""0.0"": 0.03784422134219445, ""0.75"": 0.033952717388841154, ""1.0"": 0.033267626451645375, ""1.25"": 0.032904509018773447}",0.033885951998577184,0.04239151060407982,0.942412466597055,0.009381132742245057,0.033952717388841154,0.04258333102122144,0.939964903077112,0.010044973277748781,0.18867624766799596,5.410481377025418,10.282954214239469
128,13,1588113,32908,258,20972,0.637291843928528,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4985388466307277,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03445448109786741, ""1.0"": 0.03446535275125849, ""1.25"": 0.03469678544062282}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03508917650601199, ""1.0"": 0.03456029437979322, ""1.25"": 0.034221736190357975}",0.03446535275125849,0.043154837090054896,0.9403198845451205,0.013013449909105024,0.03456029437979322,0.04334873726652675,0.9377873275776768,0.0011830104766361593,0.19220628809817697,3.7931374615227593,8.67748587745366
128,13,1588113,32908,258,20972,0.637291843928528,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4985388466307277,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03445448109786741, ""1.0"": 0.03446535275125849, ""1.25"": 0.03469678544062282}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03508917650601199, ""1.0"": 0.03456029437979322, ""1.25"": 0.034221736190357975}",0.03445448109786741,0.04315857319316286,0.9403095505602576,0.006895869022677026,0.03508917650601199,0.044016665799609465,0.9358553795619038,0.006436558340407572,0.19185375350900502,3.823484682133272,7.279961744412276
128,14,1588114,32908,258,21119,0.6417588428345691,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4980791480308621,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03417776130138025, ""1.0"": 0.03489901055861839, ""1.25"": 0.03620407470723182}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03369981635587718, ""1.0"": 0.033240917330409715, ""1.25"": 0.03327412949446482}",0.03489901055861839,0.043714115263047346,0.9387629758433153,0.02639419095555251,0.033240917330409715,0.04166101704825788,0.9425373446356764,0.0024434670288093763,0.18183344476537888,2.582621574379032,12.163822767446606
128,14,1588114,32908,258,21119,0.6417588428345691,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4980791480308621,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,0.75,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03417776130138025, ""1.0"": 0.03489901055861839, ""1.25"": 0.03620407470723182}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03369981635587718, ""1.0"": 0.033240917330409715, ""1.25"": 0.03327412949446482}",0.03417776130138025,0.042781878173449805,0.941346979121757,0.01696120976991189,0.03369981635587718,0.04226959219515354,0.9408462786923059,0.003710812646467776,0.18407155724957125,4.595922545005393,10.951222774126574
128,15,1588115,32908,258,20843,0.6333718244803695,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4985395877137618,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,fixed_shrink_1p0,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03407004336297278, ""1.0"": 0.033955995680148454, ""1.25"": 0.034063333861236986}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03470464217814045, ""1.0"": 0.03402394899601193, ""1.25"": 0.0335325075780675}",0.033955995680148454,0.04248513836389806,0.9421578049469476,0.00983146983169636,0.03402394899601193,0.042669657243347876,0.939721246408967,0.005787089063764128,0.18432912068864127,5.214960881609336,10.09473100698495
128,15,1588115,32908,258,20843,0.6333718244803695,log_residual,kernel_summary,10,64,64-32,relu,physics,0.001,0.002,512,120,120,0.4985395877137618,0.03582421444985208,0.9352046778978227,0.03784422134219445,0.9256689190805758,0.3602291002381721,2.775526432054084,1.10220591564488,0.1809539547405603,1.0070708967261994,validation_selected,1.0,"{""0.0"": 0.03582421444985208, ""0.75"": 0.03407004336297278, ""1.0"": 0.033955995680148454, ""1.25"": 0.034063333861236986}","{""0.0"": 0.03784422134219445, ""0.75"": 0.03470464217814045, ""1.0"": 0.03402394899601193, ""1.25"": 0.0335325075780675}",0.033955995680148454,0.04248513836389806,0.9421578049469476,0.00983146983169636,0.03402394899601193,0.042669657243347876,0.939721246408967,0.005787089063764128,0.18432912068864127,5.214960881609336,10.09473100698495
