model,feature_set,config,split,target_schedule,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,mae_baseline,mae_improvement_vs_momentum,relative_mae_improvement_pct,step_reference_mae,mae_gap_vs_step_reference
mean_shift,constant_residual,train_residual_mean,test,wsd,full,16454,0.03745600006401701,0.046957506055453235,0.013284498024271403,0.9272979088067953,0.020089341416264308,0.19005395382970525,0.0463561152739409,0.03772038950173981,0.00026438943772279927,0.7009191612684822,0.0208777617992575,0.01657823826475951
mean_shift,constant_residual,train_residual_mean,test,wsd,steps_27126_33906,3391,0.038463379746312705,0.048301662665693024,0.014309547081024353,0.17697722653923365,0.02282459331339523,0.16946109513351804,0.0463561152739409,0.03875375885797014,0.00029037911165743363,0.749292765952467,0.021855493084408,0.016607886661904703
mean_shift,constant_residual,train_residual_mean,test,wsd,steps_30000_33906,1954,0.03349054928257617,0.04206208083580245,0.012577672459832281,-0.020094548592960892,0.011175248539136625,0.14565181056111687,0.0463561152739409,0.033630779184426494,0.00014022990185032225,0.4169689351570508,0.0087620255154218,0.02472852376715437
mean_shift,constant_residual,train_residual_mean,test,wsd,last_2048_sampled,2048,0.033666336510259305,0.04233417123628374,0.01264007301320286,-0.02167091838546864,0.011993233185635338,0.16053437152424266,0.0463561152739409,0.033818500438614396,0.00015216392835509102,0.44994286080570356,0.0095572702144961,0.024109066295763204
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,full,16454,0.03234479798969076,0.040396781682106565,0.011486342383016214,0.9531495823920945,-0.0005286779862519081,0.1799703138896871,0.04470443314535233,0.03233900437067206,-5.793619018701346e-06,-0.017915267125402055,,
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,steps_27126_33906,3391,0.031685105215789586,0.03977359167358661,0.011847406896443709,0.04719819578619866,-0.00023243336426408725,0.1353797620743742,0.04470443314535233,0.03168541521772093,3.100019313473368e-07,0.0009783742116592487,,
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,steps_30000_33906,1954,0.03171294969404958,0.039769143310960646,0.011895210446900624,0.0044557159093771,0.0013311744705835256,0.1353797620743742,0.04470443314535233,0.03176104292493659,4.809323088700995e-05,0.15142207704159,,
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,last_2048_sampled,2048,0.03162122587996644,0.03969037294935105,0.01185991796122033,0.005544678356163124,0.0013081475711527444,0.1353797620743742,0.04470443314535233,0.03166922450913761,4.799862917116704e-05,0.15156237614002155,,
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,full,16454,0.03479166134594969,0.0436131952107055,0.012277927886158585,0.9392856793805783,0.008897329841387839,0.18359556896144502,0.06231608451955184,0.035786677452969595,0.0009950161070199082,2.780409297084218,0.0164473637600758,0.018344297585873887
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,steps_27126_33906,3391,0.033358874577064115,0.04180042265911571,0.012412298860589106,0.14918131587222672,-0.0021899715750671915,0.15170326282189972,0.06231608451955184,0.035358896851653436,0.0020000222745893206,5.656348055710897,0.0151542069521842,0.018204667624879916
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,steps_30000_33906,1954,0.03330753296018006,0.041333130816810996,0.012437636562370789,-0.015230619187634353,-0.00989847649851049,0.15170326282189972,0.06231608451955184,0.03254554010472091,-0.000761992855459151,-2.341312674508725,0.0100502184846781,0.023257314475501962
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,validation,811,last_2048_sampled,2048,0.033147125700021624,0.04118353380353938,0.012375105676595902,0.0011373410863202427,-0.009502295026574983,0.15170326282189972,0.06231608451955184,0.032416249889189584,-0.0007308758108320393,-2.254658738535259,0.0097109073051012,0.023436218394920424
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,full,16454,0.036327364556480404,0.04558359453080049,0.012866051484191737,0.9314899957705747,0.0168988135633524,0.1908711503213083,0.050704754720651835,0.03772038950173981,0.0013930249452594051,3.6930290584490213,0.0208777617992575,0.015449602757222906
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,steps_27126_33906,3391,0.035941895514550674,0.04526945015930188,0.013364964013923349,0.27706686502842837,0.016775117148278788,0.1606379042634547,0.050704754720651835,0.03875375885797014,0.0028118633434194643,7.255717706570735,0.021855493084408,0.014086402430142673
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,steps_30000_33906,1954,0.03266650694801456,0.04093298913778415,0.012251124792263354,0.033936130850164004,0.006393808537540359,0.14105004136868526,0.050704754720651835,0.033630779184426494,0.0009642722364119338,2.8672313273623535,0.0087620255154218,0.02390448143259276
sujianlin_grid_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,test,wsd,last_2048_sampled,2048,0.03272120189446294,0.04107062768077358,0.012268759211507592,0.038406348077371644,0.007119433370445348,0.15359032176662124,0.050704754720651835,0.033818500438614396,0.0010972985441514566,3.244669426260388,0.0095572702144961,0.02316393167996684
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,full,16454,0.03234479798969076,0.040396781682106565,0.011486342383016214,0.9531495823920945,-0.0005286779862519081,0.1799703138896871,0.04470443314535233,0.03233900437067206,-5.793619018701346e-06,-0.017915267125402055,,
best_ema_memory_811_selected,current_lr_ewma_lr2,current_lr_ewma_lr2_h1024_ridge0p01_shrink1p25_clip0p05,train,cosine,steps_27126_33906,3391,0.031685105215789586,0.03977359167358661,0.011847406896443709,0.04719819578619866,-0.00023243336426408725,0.1353797620743742,0.04470443314535233,0.03168541521772093,3.100019313473368e-07,0.0009783742116592487,,
