feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,1.0,0.75,0.00205266311234;0.0021323683441;-0.00440702183166,sat_s2_tail_scale5_beta2_ridge1_shrink0.75,0.037050967377000026,0.046510020124595985,0.9309524323987171,0.05442787863062293,0.03938652613499478,0.04925136868312043,0.9200214613506721,0.04337262297840194
sat_s2_tail,sat_s2;sat_tail,2.0,1.0,0.01,1.25,0.00108977090756;0.00452014893379;-0.00607949537722,sat_s2_tail_scale2_beta1_ridge0.01_shrink1.25,0.03706367352849784,0.046539563044793446,0.9308646872362625,0.047514564506025536,0.03955635611478404,0.04945927798997071,0.9193447946823574,0.03686699926400161
sat_s2_tail,sat_s2;sat_tail,2.0,1.0,0.0001,1.25,0.00109019336096;0.00452140598543;-0.00608127523035,sat_s2_tail_scale2_beta1_ridge0.0001_shrink1.25,0.03706425065472847,0.04654028111902626,0.9308625537968224,0.04751119029098172,0.03955710308053075,0.04946015420159836,0.9193419369109705,0.03686421824485819
sat_s2_tail,sat_s2;sat_tail,2.0,1.0,1e-06,1.25,0.00109019758672;0.0045214185596;-0.00608129303406,sat_s2_tail_scale2_beta1_ridge1e-06_shrink1.25,0.037064256427672845,0.04654028830225942,0.9308625324548613,0.04751115653900406,0.03955711055236501,0.04946016296651047,0.9193419083238823,0.036864190426570964
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,0.01,0.75,0.0020825893475;0.00216233357672;-0.00446608513786,sat_s2_tail_scale5_beta2_ridge0.01_shrink0.75,0.037072103506123555,0.04653627639449908,0.9308744516413343,0.05436785918498055,0.03941319865217758,0.04928267058495991,0.9199197676929548,0.043334339124769805
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,0.0001,0.75,0.00208289269229;0.00216263733101;-0.00446668384023,sat_s2_tail_scale5_beta2_ridge0.0001_shrink0.75,0.03707231802282696,0.0465365429792676,0.9308736596625806,0.054367250780213094,0.039413469393150304,0.049282988181713165,0.9199187355531203,0.04333395104962534
sat_s2_tail,sat_s2;sat_tail,5.0,2.0,1e-06,0.75,0.00208289572615;0.00216264036897;-0.00446668982807,sat_s2_tail_scale5_beta2_ridge1e-06_shrink0.75,0.03707232016828688,0.04653654564552344,0.9308736517415576,0.05436724469533338,0.03941347210092965,0.04928299135814497,0.9199187252301796,0.04333394716834249
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,0.01,1.0,0.00143284722413;0.0054927360561;-0.00786986419038,sat_s2_tail_scale5_beta0.5_ridge0.01_shrink1,0.03708139155977948,0.04655947477452298,0.9308055161543233,0.04915081650299502,0.03954877440197735,0.04944858678959805,0.9193796600422244,0.03845404870820168
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,0.0001,1.0,0.00143359795037;0.00549499275904;-0.00787321233038,sat_s2_tail_scale5_beta0.5_ridge0.0001_shrink1,0.03708218421336447,0.04656046095253355,0.9308025849012785,0.0491466490821999,0.03954979842580465,0.049449786387255903,0.9193757483775901,0.03845072357872681
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,1e-06,1.0,0.00143360546082;0.00549501533565;-0.00787324582601,sat_s2_tail_scale5_beta0.5_ridge1e-06_shrink1,0.037082192143276384,0.04656047081923159,0.9308025555738166,0.04914660739024779,0.03954980867040385,0.04944979838878318,0.9193757092423644,0.03845069031328041
