method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.5,cosine,steps_20000_30000,5001,0.019613839441068436,0.023880477634337,0.007236095672521727,0.7252710276770886
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.5,wsd,full,16454,0.04453574928920262,0.055218149176441196,0.015850875893019273,0.8994688737337131
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.5,wsd,steps_20000_30000,5001,0.057221202003498554,0.06751899120993403,0.020821507742335543,-0.9873599435134712
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.75,cosine,full,16454,0.015201947994512396,0.018337354721436026,0.0053938784564624255,0.9903463109878363
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.75,cosine,steps_20000_30000,5001,0.014690181932973537,0.01757642115037481,0.00541991296034912,0.8511738167067806
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.75,wsd,full,16454,0.05004350428928562,0.06133853106356062,0.017821096798068068,0.8759480489185957
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink0.75,wsd,steps_20000_30000,5001,0.06600961764066345,0.07593013055358165,0.02400491164829731,-1.5133497935702866
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink1,cosine,full,16454,0.012227782128034844,0.015575010666769175,0.004332618475042997,0.9930357133654883
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink1,cosine,steps_20000_30000,5001,0.011554348661229247,0.014715764780486302,0.004262629160979885,0.8956760268799279
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink1,wsd,full,16454,0.056396366242230725,0.06828099659089654,0.020085510709308602,0.8462778113903143
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_clamp_s0.5_shrink1,wsd,steps_20000_30000,5001,0.07539775934024906,0.08476176459762275,0.02739984559530187,-2.132020680689408
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.5,cosine,full,16454,0.017108632197993103,0.021233332073791772,0.006079054404417632,0.987056365658782
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.5,cosine,steps_20000_30000,5001,0.016745095208575766,0.020774939683453873,0.006177645901300358,0.7920791763299245
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.5,wsd,full,16454,0.0580890717409876,0.1489224431089897,0.019137449689131177,0.26876467858791697
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.5,wsd,steps_20000_30000,5001,0.045669329955842816,0.05647256368869044,0.01659992539044253,-0.3902715959463481
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.75,cosine,full,16454,0.010057072874505146,0.012344097785332379,0.003572130358123335,0.9956253970785248
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.75,cosine,steps_20000_30000,5001,0.009557022979537835,0.011736188594239621,0.0035259499245174435,0.9336451604496033
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.75,wsd,full,16454,0.06136904546907298,0.15040796242709437,0.020283713649159228,0.25410359753950795
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink0.75,wsd,steps_20000_30000,5001,0.04897579911551381,0.060611808434155916,0.017783317421726945,-0.6015449269945812
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink1,cosine,full,16454,0.004956878853149845,0.006971933482281125,0.0017561880589058426,0.9986045110505166
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink1,cosine,steps_20000_30000,5001,0.004215871181040209,0.006118039338748778,0.001555899733869749,0.9819680383883689
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink1,wsd,full,16454,0.06556380707873243,0.152390749153121,0.02175452237170119,0.23430807900555795
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.1_shrink1,wsd,steps_20000_30000,5001,0.05321707206131072,0.06590431399846876,0.01930295920481332,-0.89344341024943
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.5,cosine,full,16454,0.02004027404330229,0.02447594213905756,0.00711607476225171,0.9828011753932296
momentum_reproduced,smooth_residual_intrinsic_time,intrinsic_s1_ratio_s0.5_shrink0.5,cosine,steps_20000_30000,5001,0.01961383944106868,0.023880477634337444,0.007236095672521815,0.7252710276770784
