family,target_schedule,window,n,mae_baseline,mae_corrected,mae_improvement,relative_improvement_pct,rmse_baseline,rmse_corrected,r2_corrected,endpoint_abs_diff,step_mae,step_rmse,mae_gap_vs_step,rmse_gap_vs_step,verdict
step_abs,wsd,full,16454,0.03772038950173981,0.0351801883052973,0.002540201196442507,6.734292063249621,0.04727466039406645,0.04399643153904394,0.9361778011120478,0.024145945124007362,0.0351801883052973,0.04399643153904394,0.0,0.0,step_reference
s1_clamp,wsd,last_2048_sampled,2048,0.033818500438614396,0.03492425016546624,-0.0011057497268518457,-3.2696592471891113,0.042537748476090195,0.04400345636084865,-0.10383075015725396,0.04145842749505091,0.029935568288819842,0.03763447870791635,0.0049886818766464,0.006368977652932303,fails_vs_momentum
s1_ratio,wsd,last_2048_sampled,2048,0.033818500438614396,0.03350178635176501,0.0003167140868493845,0.9365113258769934,0.042537748476090195,0.04206661900882569,-0.008797793243921381,0.04145842749504025,0.029935568288819842,0.03763447870791635,0.0035662180629451694,0.00443214030090934,helps_but_weaker_than_step
s1_raw,wsd,last_2048_sampled,2048,0.033818500438614396,0.4478694182429207,-0.4140509178043063,-1224.3325766494888,0.042537748476090195,0.449790663016462,-114.33198822945019,0.3844874006747272,0.029935568288819842,0.03763447870791635,0.4179338499541009,0.4121561843085456,fails_vs_momentum
step_abs,wsd,last_2048_sampled,2048,0.033818500438614396,0.029935568288819842,0.003882932149794554,11.481680439505746,0.042537748476090195,0.03763447870791635,0.19257774295577512,0.024145945124007362,0.029935568288819842,0.03763447870791635,0.0,0.0,step_reference
s1_clamp,wsd,steps_10000_20000,5001,0.03742600706816247,0.03809468141136377,-0.0006686743432012948,-1.7866569147584066,0.04692632628320789,0.04771454928642198,-0.1262660915622993,0.0011999177378068104,0.03463381849998899,0.043305412505493114,0.0034608629113747763,0.004409136780928864,fails_vs_momentum
s1_ratio,wsd,steps_10000_20000,5001,0.03742600706816247,0.03724834278642682,0.0001776642817356497,0.47470808577596035,0.04692632628320789,0.046685276620282636,-0.0781997586218326,0.0018821945940952212,0.03463381849998899,0.043305412505493114,0.002614524286437832,0.0033798641147895214,helps_but_weaker_than_step
s1_raw,wsd,steps_10000_20000,5001,0.03742600706816247,0.09820929610618412,-0.060783289038021646,-162.40922769912243,0.04692632628320789,0.1852758007612213,-15.981527600203169,0.45462509394560513,0.03463381849998899,0.043305412505493114,0.06357547760619513,0.1419703882557282,fails_vs_momentum
step_abs,wsd,steps_10000_20000,5001,0.03742600706816247,0.03463381849998899,0.0027921885681734815,7.460556941295344,0.04692632628320789,0.043305412505493114,0.07226547890070789,0.015657603870271597,0.03463381849998899,0.043305412505493114,0.0,0.0,step_reference
s1_clamp,wsd,steps_1000_10000,4501,0.03326441592472226,0.033095077344822706,0.00016933857989955697,0.5090682496358031,0.04171065695453741,0.04143498190807037,0.9619227288488922,0.005727498758205218,0.029658198235703183,0.03702710528574449,0.0034368791091195228,0.004407876622325883,helps_but_weaker_than_step
s1_ratio,wsd,steps_1000_10000,4501,0.03326441592472226,0.06166328175089743,-0.028398865826175165,-85.37310828015771,0.04171065695453741,0.1281180536141699,0.6359574281131346,0.0005790917568977427,0.029658198235703183,0.03702710528574449,0.032005083515194245,0.0910909483284254,fails_vs_momentum
s1_raw,wsd,steps_1000_10000,4501,0.03326441592472226,0.033095077344822706,0.00016933857989955697,0.5090682496358031,0.04171065695453741,0.04143498190807037,0.9619227288488922,0.005727498758205218,0.029658198235703183,0.03702710528574449,0.0034368791091195228,0.004407876622325883,helps_but_weaker_than_step
step_abs,wsd,steps_1000_10000,4501,0.03326441592472226,0.029658198235703183,0.0036062176890190797,10.841067214827971,0.04171065695453741,0.03702710528574449,0.969593178018026,0.0035789065538542886,0.029658198235703183,0.03702710528574449,0.0,0.0,step_reference
s1_clamp,wsd,steps_27126_33906,3391,0.03875375885797014,0.04067306885793756,-0.0019193099999674224,-4.952577650600452,0.04864293911703619,0.050894927663158424,0.08623042347368637,0.04145842749505091,0.03579783971839802,0.044843050530152556,0.004875229139539541,0.006051877133005867,fails_vs_momentum
s1_ratio,wsd,steps_27126_33906,3391,0.03875375885797014,0.038622471979183115,0.0001312868787870236,0.33877198665600666,0.04864293911703619,0.04847839020177857,0.17094360911694462,0.04145842749504025,0.03579783971839802,0.044843050530152556,0.0028246322607850954,0.003635339671626013,helps_but_weaker_than_step
s1_raw,wsd,steps_27126_33906,3391,0.03875375885797014,0.46455846507987414,-0.42580470622190403,-1098.7442735102136,0.04864293911703619,0.4668393802046274,-75.88164357057958,0.3844874006747272,0.03579783971839802,0.044843050530152556,0.42876062536147613,0.42199632967447487,fails_vs_momentum
step_abs,wsd,steps_27126_33906,3391,0.03875375885797014,0.03579783971839802,0.002955919139572119,7.627438541911146,0.04864293911703619,0.044843050530152556,0.29062155384408506,0.024145945124007362,0.03579783971839802,0.044843050530152556,0.0,0.0,step_reference
s1_clamp,wsd,steps_30000_33906,1954,0.033630779184426494,0.0346582282231584,-0.0010274490387319063,-3.0550854415162947,0.04225317405807368,0.04364637940549937,-0.09838695512302742,0.04145842749505091,0.029728565177879578,0.03740085117721417,0.004929663045278823,0.0062455282282851965,fails_vs_momentum
s1_ratio,wsd,steps_30000_33906,1954,0.033630779184426494,0.03339578516778452,0.00023499401664197478,0.6987468692096024,0.04225317405807368,0.04189724693757227,-0.01211507206422291,0.04145842749504025,0.029728565177879578,0.03740085117721417,0.003667219989904942,0.004496395760358096,helps_but_weaker_than_step
s1_raw,wsd,steps_30000_33906,1954,0.033630779184426494,0.44671172999773917,-0.4130809508133127,-1228.282427082746,0.04225317405807368,0.4486212106709044,-115.04288711815106,0.3844874006747272,0.029728565177879578,0.03740085117721417,0.4169831648198596,0.4112203594936902,fails_vs_momentum
step_abs,wsd,steps_30000_33906,1954,0.033630779184426494,0.029728565177879578,0.003902214006546917,11.603103172685119,0.04225317405807368,0.03740085117721417,0.1934674645143558,0.024145945124007362,0.029728565177879578,0.03740085117721417,0.0,0.0,step_reference
