residual_target,family,selected_config,selected_on,target_schedule,window,mae,rmse,r2,endpoint_abs_diff,step_mae,mae_gap_vs_step
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,811,last_2048_sampled,0.034851797002493426,0.04343196655335573,-0.11090660327057766,0.03791669961306443,0.009555855654943358,0.025295941347550067
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,full,0.03981235483468404,0.04988827845873373,0.917939550444796,0.025193667083966087,0.02076747763849802,0.019044877196186017
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,steps_27126_33906,0.04051290416078871,0.05105588112932877,0.08044175469142956,0.025193667083966087,0.021706695353721762,0.01880620880706695
raw,s1_ratio,interp_log_residual_shrink0.5_clip0.15,811:full,wsd,last_2048_sampled,0.03525569095361714,0.04452787046637704,-0.13029747759921428,0.025193667083966087,0.009309824120109087,0.025945866833508056
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,full,0.035883808570165404,0.04503083253960053,0.9352745197061958,0.06031567443610353,0.035883808570165404,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,steps_27126_33906,0.03562433743892139,0.0448908327172875,0.018724410282030424,0.06031567443610353,0.03562433743892139,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,811,last_2048_sampled,0.032723809256403544,0.040715048128046286,0.023733325070486533,0.06031567443610353,0.032723809256403544,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,full,0.03770097488324909,0.047254021473160865,0.9263768482553626,0.04764465544245189,0.03770097488324909,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,steps_27126_33906,0.03852942824220211,0.04838555082719916,0.1741159659556799,0.04764465544245189,0.03852942824220211,0.0
roll501,step_abs,interp_log_residual_roll501_shrink0.5_clip0.15,811:full,wsd,last_2048_sampled,0.03339952963771633,0.04197227532813515,-0.004277963739524271,0.04764465544245189,0.03339952963771633,0.0
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,full,0.035185829841645824,0.04412319834752861,0.9378574171395201,0.062286054930550616,0.035883808570165404,-0.0006979787285195799
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,steps_27126_33906,0.035115523819606274,0.04417662036271203,0.049700176963060616,0.062286054930550616,0.03562433743892139,-0.0005088136193151169
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,811,last_2048_sampled,0.03296580355848792,0.04098686748191054,0.010654426405478756,0.062286054930550616,0.032723809256403544,0.00024199430208437372
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,full,0.03669824486046892,0.04603467005611069,0.9301273964080242,0.04961961143450555,0.03770097488324909,-0.001002730022780167
roll501,s1_raw,interp_log_residual_roll501_shrink1_clip0.15,811:full,wsd,steps_27126_33906,0.03719612728918435,0.046793673087418025,0.22756496303836293,0.04961961143450555,0.03852942824220211,-0.0013333009530177575
